review,sentiment
"I think Charlotte Gainsbourg is one of the best performers in the world. I can't understand why some people say she's not. Boring....??? Maybe the one who said she's boring is because he/she is boring. She's a great actress and the movie was excellent. It has lots of wonderful ideas and very good performers. The direction was great. I imaging myself in the French environment with all the sophistication and perfume, flowers, churches, problems, etc. When she goes to the sister's shop is simply amazing. Everything's great. We have a very good actress, wonderful, for long time. Alain Chabat and Bernadette Lafont are perfect. I like him more than in his next movie LA SCIENCE DES RÊVES. And Eric Lartigau did a very good work.<br /><br />Ana",1
"Of course, how could he. He obviously co-opted several aspects from that excellent movie, which was also based on the sensational French case of the self-described ""doctor in the World Health Organization"" who murdered his family and himself when finally unmasked as a fraud. Emilio refers to his son as ""monster,"" he sings to the radio in his car, he hangs out on park benches, and he specializes in investment schemes to defraud his family and friends -- all of this and more directly lifted from ""Time Out,"" which came out the year before ""Nobody's Life."" It's too bad because this movie is pretty good on its own, with good acting and writing. Whereas Vincent from ""Time Out"" is a much more subtle character who seems to have a sense of ethics even though at times it gets twisted into knots, the protagonist here seems devoid of any character at all save for his winning looks and charm. Seriously, the part where he used X-rays that show his mother-in-law's cancer to bilk more money from his father, then utilizes a subtle twist on the same scam to avoid eviction from his fancy home for failing to pay the lease on time -- it's almost too much. The guy has no shame whatsoever, In fact, he's more like the lead in ""Stepfather"" than some poor schmuck who gets fired and is so humiliated that he can't face the disappointment of his family and friends and feels forced to invent a shiny new life for himself, as Vincent did in ""Time Out."" Thus, one could feel the tension mounting in ""Nobody's Life"" and the violent conclusion coming. One thing ""Nobody's Life"" has that ""Time Out"" definitely lacked was a love interest apart from the protagonist's trusting wife. It's not hard to understand how the sexy babysitter was able to fascinate and ensnare Emile to the degree that he ignored the danger of her natural curiosity and allowed it to lay bare his less than carefully constructed con. Given the reservations mentioned, this is a pretty good movie that we found entertaining. If you long for something touching on similar elements that goes a might deeper and is more intellectually and spiritually satisfying, I strongly suggest ""Time Out.""",1
"I first saw this movie as a younger child. My sister had told me about it and I thought it would be more of a kid's movie. However it remains to also be an incredible movie. True that the subject behind the movie is ruff but also true this movie will never stop touching your heart.<br /><br />I was only 6 when I first saw it and just yesterday, 7 years later, I saw it again. For the first time in a long time. Even after I knew how it ended, I knew that I had seen it a billion, bizillion times I wept like a teeny weeny little baby. When I saw it a few years back I finally got the idea and the seriousness of the film. So I stoped watching it for a while. But yesterday I didn't change the channel, I watched it. By the end I was astonished at how much it still made me laugh, cry, think, and above all, believe in mericals again. I haven't belived in a long time and this movie got me out of my shell and opened up my heart. This movie wasn't just impacting. I was also so impressed with the actors. Especially Bobby. So if you are wanting to see this movie for the first time I suggest seeing it alone. With tissues. And being ready to discover your young, sweet, innocent side and the side that still has hope. This movie touched my soul when I was only 6, and even in this time of trying to figure out who I am this movie helped me realize both what I don't and still do want to be in life.",1
"Only Connery could bring that particular style with a line like that Fatima crashes into Bond's arms when she water-skis up to the super agent in Nassau and apologizes, 'Oh, how reckless of me. I made you all wet.' The super agent replies, 'Yes, but my martini is still dry.'<br /><br />Barbara Carrera makes a great villain, stealing the show as SPECTRE executioner Fatima Blush Fatima is number 12 in the SPECTRE chain of command, and is a gorgeous assassin who takes intense sensations of pleasure in killing <br /><br />Fatima assumes all the deadly characteristics of Fiona, proving to be one of Bond's toughest adversaries She is a victim of her vanity She's good at what she does, and wants the world to know it But her vanity is her downfall Using every possible approach to eliminate 007, Fatima is a wild and cunning woman who makes love to the man she is about to kill <br /><br />Austrian actor Klaus-María Brandauer (Largo) does not make a very formidable opponent for 007 Referred to as number one in the SPECTRE chain of command, Largo resides in the Bahamas, and travels aboard his super yacht, the Flying Saucer <br /><br />Max Von Sydow becomes the fourth actor to appear as SPECTRE chief Ernst Stavro Blofeld, once more plotting to put the world at ransom <br /><br />Kim Basinger takes the part once owned by the lovely French actress Claudine Auger She is Domino, the mistress of Largo, who soon falls deeply in love with her rescuer <br /><br />Black actor Bernie Casey becomes the sixth actor to play CIA agent Felix Leiter after Jack Lord, Cec Linder, Rik Van Nutter, Norman Burton, and David Hedison...<br /><br />Edward Fox portrays the new, unsympathetic 'M.' Pamela Salem is the third actress to play Miss Moneypenny. Lois Maxwell was the first and Barbara Bouchet was the second.<br /><br />Valerie Leon is the sexy lady in the Bahamas who fished 007 out of the blue water and saved his life by making love to him in her own room Valerie was the Sardinian hotel receptionist in 'The Spy Who loved Me' when Bond and Anya arrive seeking Stromberg<br /><br />Prunella Gee is Shrublands physical therapist Patricia Saskia Cohen Tanugi is Nicole, Bond's Secret Service contact in the South of France <br /><br />Gavan O'Herlihy is Jack Petachi, the U.S. Air Force communications officer who duplicates the President of the United States' 'eye print' and arms two cruise missiles with nuclear warheads <br /><br />Rowan Atkinson is the bumbling foreign officer Nigel Small-Fawcett; and Alec McCowen is Algernon, the armorer who provides 007 some formidable items <br /><br />If you like to see Connery playing a tense battle of wills, disguised as a masseur, attacked by robot-controlled sharks, giving away a considerable amount of money for a tango dance, thrown into a medieval dungeon, don't miss this second of only two ""unofficial"" James Bond films",1
"Clearly my rating for this is not to suggest it compares with the classy horrors of the likes of Argento but with other 70s low budget, drive in fare and in that department it truly is a classic. The lack of money shows, (Does anyone care too much?) the acting is adequate rather than professional, (Does that make it more realistic?) but unlike so many other movies, and not just low budget ones, this does not drag for a moment. Crap it may be but non stop crap, in your face crap and although inevitably a bit campy at times, this is a must see for anyone who has any idea what I'm talking about. At times quite delirious, this crazy little film filled out with crazy characters is clearly made for fun and fun indeed it is to watch.",1
"About the baby: Why wasn't big brother assuming he'd be hungry for a bottle or some nourishment or a diaper change? He should have been screaming non-stop after that many hours without care. Definitely stupid to take the baby from a safe place when he didn't need to.<br /><br />And why was the road miraculously clear whenever anyone wanted to drive somewhere? Didn't any uprooted trees fall on the roads and block them?<br /><br />I can't imagine the cops at the roadblock not immediately following after any young person who would crash it, especially when they said it was dangerous to go there.<br /><br />That being said, it was nice to have a movie children could safely watch, for a change.",0
"This takes place in 1920s Harlem. A black owned nightclub has to deal with gangsters and corrupt policemen.<br /><br />Terrible vanity project for Eddie Murphy. It tries to mix comedy and drama and fails at both. The comedy simply isn't funny and the drama is boring and badly acted. You think a film with three comedy legends--Eddie Murphy, Redd Foxx and Richard Pryor--would be great but it isn't. There's nonstop swearing and the OPENING scene has a young boy shooting a man to death (this is shown as being OK). Also we have the beautiful Della Reese degraded into playing a madam. One of the ""comedic"" highlights has a long, unfunny and terribly vicious fight between her and Murphy. A boring, offensive and stupid mess. Not the worst Murphy movie but pretty close. A 1 all the way.",0
"I was particularly moved by the understated courage and integrity of l'Anglaise, in this beautifully acted, intellectually and visually compelling film. Thank you so much, Monsieur le directeur Rohmer.",1
"Uninspired direction leaves a decent cast stranded in a handsome but bland adaptation, in which dialogue seems recited rather than heartfelt, and cash strapped appearances by the ghosts fail to round up any sense of awe or magic; Edward Woodward, as the Ghost of Christmas Present, wobbles around on stilts and seems to be doing an impression of Bernard Cribbins. As Scrooge, George C. Scott is too wry, and he never seems to truly believe in it, which robs his performance of its effect. The scenes in which he's shown his past have as much impact as if he was half-heartedly flicking through his family album. No one else seems to be putting any effort in, except Frank Finlay, who chronically overacts.",0
"There is only one word that describes this film: BAD!! I have no idea why this movie was even made, or how they got Dennis Hopper to star in this film. Stuart Gordon is a better director than this and Hopper is a much better actor. The film is plain stupid. I did like the ""square pigs"" idea and there was an interesting love scene involving a cyborg, other than that, avoid this film at all costs.",0
